#SampleID	Metaphlan2_Analysis
J00138:104:HJJCKBBXX:5:1222:31974:6396	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1205:8836:35796	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2105:24688:13359	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:1104:28178:19548	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:1108:16417:32543	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:2222:9861:44078	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:6:2217:16193:42987	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:1220:4239:38205	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2104:10450:47841	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2108:10186:21500	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2121:10602:40121	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Alcelaphine_herpesvirus_1|t__PRJNA14099
J00138:104:HJJCKBBXX:5:1115:7679:24542	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1219:24830:7838	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2110:10784:28481	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2208:29183:7926	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
