#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	100.0
k__Bacteria|p__Actinobacteria	64.75818
k__Bacteria|p__Firmicutes	17.75078
k__Bacteria|p__Bacteroidetes	13.71013
k__Bacteria|p__Verrucomicrobia	2.9107
k__Bacteria|p__Proteobacteria	0.87021
k__Bacteria|p__Actinobacteria|c__Actinobacteria	64.75818
k__Bacteria|p__Firmicutes|c__Bacilli	17.16462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13.71013
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2.9107
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.83704
k__Bacteria|p__Firmicutes|c__Clostridia	0.58617
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.03317
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	61.11093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	17.16462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	13.71013
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	3.64726
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2.9107
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.83704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.58617
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.03317
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	61.11093
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	15.79631
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	11.40932
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	3.64726
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	2.9107
