#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	38.02075
k__Bacteria|p__Actinobacteria	23.16367
k__Bacteria|p__Verrucomicrobia	22.31336
k__Bacteria|p__Proteobacteria	10.33311
k__Bacteria|p__Firmicutes	5.72829
k__Bacteria|p__Deferribacteres	0.44081
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38.02075
k__Bacteria|p__Actinobacteria|c__Actinobacteria	23.16367
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	22.31336
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6.27796
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4.05515
k__Bacteria|p__Firmicutes|c__Clostridia	3.81417
k__Bacteria|p__Firmicutes|c__Bacilli	1.69237
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.44081
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.22175
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	38.02075
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	22.31336
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	21.89
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	6.27796
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4.05515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.81417
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.69237
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.27367
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0.44081
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.22175
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	37.13605
