#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	78.72943
k__Bacteria|p__Actinobacteria	10.19046
k__Bacteria|p__Firmicutes	7.55262
k__Bacteria|p__Proteobacteria	3.5275
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	78.72943
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.19046
k__Bacteria|p__Firmicutes|c__Clostridia	4.52453
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2.91815
k__Bacteria|p__Firmicutes|c__Bacilli	2.73272
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.60935
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.29537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	78.72943
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	6.30146
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.52453
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	3.889
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2.91815
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.73272
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.60935
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.29537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	70.62701
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	6.30146
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.51823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.89498
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	3.889
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2.91815
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2.73272
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.71607
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.86812
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.49262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.43195
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.29537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.1976
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.11673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	70.62701
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	6.30146
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	4.51823
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	3.67999
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	2.91815
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	2.73272
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	2.27306
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	2.01715
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	1.62192
