#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	72.73117
k__Bacteria|p__Firmicutes	11.76977
k__Bacteria|p__Actinobacteria	10.26221
k__Bacteria|p__Proteobacteria	5.23685
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	72.73117
k__Bacteria|p__Firmicutes|c__Clostridia	10.83911
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.26221
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3.29765
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.9392
k__Bacteria|p__Firmicutes|c__Bacilli	0.65682
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.27384
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	72.73117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	10.83911
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	7.00597
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	3.29765
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	3.25624
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.9392
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.65682
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.27384
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	66.16662
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.17334
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	7.00597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.04617
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	3.29765
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	3.25624
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.12518
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.43251
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	1.18596
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.75324
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.63656
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname	0.39319
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.27384
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.23326
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.02026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	66.16662
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	8.88953
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	7.00597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	4.04617
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	3.25624
