#SampleID	Metaphlan2_Analysis
J00138:104:HJJCKBBXX:5:1203:30502:6097	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:1220:20314:36833	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:2107:27519:20480	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:2128:25601:16172	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1204:27285:39945	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1221:9617:48263	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2123:24901:31488	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2208:15838:3653	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2208:8176:7926	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2222:20831:35972	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:2126:17300:47120	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1221:27641:10844	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:1104:15148:22362	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:1107:6806:1226	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:1113:19035:3319	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
