#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.105488990439	3060646	322864
k__Bacteria|p__Bacteroidetes	72.73117	0.07672337293	4234739	324903
k__Bacteria|p__Firmicutes	11.76977	0.0124158155002	2645593	32847
k__Bacteria|p__Actinobacteria	10.26221	0.0108255020627	3230214	34969
k__Bacteria|p__Proteobacteria	5.23685	0.0055242999458	3135748	17323
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	72.73117	0.07672337293	3794378	291117
k__Bacteria|p__Firmicutes|c__Clostridia	10.83911	0.0114340674289	2874996	32873
k__Bacteria|p__Actinobacteria|c__Actinobacteria	10.26221	0.0108255020627	3230214	34969
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3.29765	0.00347865823715	4319058	15025
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.9392	0.00204564170865	3060202	6260
k__Bacteria|p__Firmicutes|c__Bacilli	0.65682	0.000692872663279	2708875	1877
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.27384	0.000288875408037	2612847	755
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	72.73117	0.07672337293	3794378	291117
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	10.83911	0.0114340674289	3127383	35759
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	7.00597	0.00739052827466	2484432	18361
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	3.29765	0.00347865823715	3562128	12391
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	3.25624	0.00343497378809	1842475	6329
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.9392	0.00204564170865	4002833	8188
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.65682	0.000692872663279	2010119	1393
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.27384	0.000288875408037	2612847	755
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	66.16662	0.0697985037861	5296179	369665
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.17334	0.0096768654307	3352514	32442
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	7.00597	0.00739052827466	2484432	18361
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.04617	0.00426826206412	3390441	14471
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	3.29765	0.00347865823715	3257880	11333
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	3.25624	0.00343497378809	1842475	6329
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.12518	0.00224183168459	4013113	8997
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.43251	0.00151114291226	3752948	5671
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	1.18596	0.00125105710831	4034384	5047
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.75324	0.000794584600339	2733375	2172
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.63656	0.00067150468533	2064046	1386
