#SampleID	Metaphlan2_Analysis
J00138:104:HJJCKBBXX:5:1206:12388:17509	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:2101:10348:48509	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:2216:11941:28340	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1124:20628:4145	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1126:6299:32455	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:1211:27549:3547	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2111:20506:20955	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:6:2209:13991:44412	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
J00138:104:HJJCKBBXX:5:1204:16315:31945	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:2107:19786:36341	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:5:2208:15280:19918	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
J00138:104:HJJCKBBXX:6:2109:29477:36429	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_1|t__PRJNA181227
J00138:104:HJJCKBBXX:5:2206:29112:39629	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus|t__PRJNA14655
J00138:104:HJJCKBBXX:5:2106:18294:31751	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Mannheimia_phage_vB_MhM_1152AP|t__PRJNA212715
J00138:104:HJJCKBBXX:5:1208:20344:8682	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2203:6867:41387	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2208:10500:21166	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2208:6685:6607	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2211:7588:7961	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:5:2216:8308:2844	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:6:1124:5284:19970	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactobacillus_prophage_Lj928|t__PRJNA14350
J00138:104:HJJCKBBXX:6:1127:31000:16102	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polydnaviridae|g__Ichnovirus|s__Glypta_fumiferanae_ichnovirus|t__PRJNA18767
J00138:104:HJJCKBBXX:5:2110:26179:11302	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2112:18061:16928	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1101:11180:23364	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1101:3062:46680	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1127:18923:3688	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1206:7882:25808	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1217:21349:4409	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2104:28747:1648	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2125:28067:20093	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2201:24657:37079	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2210:21430:38943	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:1114:16001:45467	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:6:2210:3427:29131	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2119:5507:21799	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lactobacillus_johnsonii_prophage_Lj771|t__PRJNA28145
J00138:104:HJJCKBBXX:5:2110:6745:16172	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus|t__GCF_000169255
J00138:104:HJJCKBBXX:5:2202:23439:3565	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus|t__GCF_000169255
J00138:104:HJJCKBBXX:5:2218:15321:41581	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus|t__GCF_000169255
J00138:104:HJJCKBBXX:5:2218:16092:28956	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus|t__GCF_000169255
J00138:104:HJJCKBBXX:5:1214:21805:1965	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1104:17766:41176	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1105:9678:7468	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1203:11586:11548	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1111:20912:47401	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1209:24018:41000	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1215:17320:41352	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2215:15757:35303	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2222:21937:25087	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2107:27245:14801	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:1227:11079:33527	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2218:13108:6097	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:6:2123:27072:19249	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1121:7375:9033	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens|t__GCF_000171175
J00138:104:HJJCKBBXX:5:1219:17350:17069	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans
J00138:104:HJJCKBBXX:6:2120:23094:21817	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1113:27499:19179	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1201:15605:32015	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1213:18710:9016	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1124:18436:34495	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:2213:18933:17667	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1107:16863:19812	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri
J00138:104:HJJCKBBXX:5:1115:24292:40315	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1117:7608:37923	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1123:18223:41053	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1207:3934:44324	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1208:15940:18529	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1227:17533:11653	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2116:6969:20217	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2209:3813:9262	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2211:23500:32508	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:6:1219:23663:21113	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:6:2101:26890:22731	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:6:2117:20923:21430	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:6:2218:19857:9139	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1120:23794:18001	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1128:5264:19373	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1211:30147:24226	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1224:8318:19566	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:1226:10257:33967	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2127:9648:46768	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2207:14164:8594	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
J00138:104:HJJCKBBXX:5:2214:20293:28252	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225
