#SampleID	Metaphlan2_Analysis
NB501206:21:HTCJ7BGXX:1:11308:22568:13634	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NB501206:21:HTCJ7BGXX:1:12302:16231:19365	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NB501206:21:HTCJ7BGXX:4:22612:11618:14518	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NS500216:292:HLWNMBGXX:3:13510:10689:18203	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NS500216:292:HLWNMBGXX:3:22502:10747:7603	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NS500216:292:HLWNMBGXX:4:13411:3063:16445	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NS500216:292:HLWNMBGXX:1:22311:9764:1973	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NS500216:292:HLWNMBGXX:2:21305:6317:17766	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Cyprinid_herpesvirus_3|t__PRJNA19059
NB501206:21:HTCJ7BGXX:1:13307:14777:6423	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
NB501206:21:HTCJ7BGXX:1:13310:4377:18924	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
NB501206:21:HTCJ7BGXX:1:13311:10706:5593	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine_herpesvirus_1|t__PRJNA78945
