#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.0490726282079	3060646	150194
k__Bacteria|p__Bacteroidetes	38.02075	0.0186577797471	4234739	79011
k__Bacteria|p__Actinobacteria	23.16367	0.0113670222998	3230214	36718
k__Bacteria|p__Verrucomicrobia	22.31336	0.0109497526035	5174086	56655
k__Bacteria|p__Proteobacteria	10.33311	0.00507073074117	3135748	15901
k__Bacteria|p__Firmicutes	5.72829	0.00281102470517	2645593	7437
k__Bacteria|p__Deferribacteres	0.44081	0.000216318111234	2574132	557
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38.02075	0.0186577797471	3794378	70795
k__Bacteria|p__Actinobacteria|c__Actinobacteria	23.16367	0.0113670222998	3230214	36718
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	22.31336	0.0109497526035	5638192	61737
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6.27796	0.00308076114892	4319058	13306
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4.05515	0.00198996959225	3060202	6090
k__Bacteria|p__Firmicutes|c__Clostridia	3.81417	0.0018717137161	2874996	5381
k__Bacteria|p__Firmicutes|c__Bacilli	1.69237	0.000830491140328	2708875	2250
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.44081	0.000216318111234	2574132	557
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.22175	0.00010881984874	2612847	284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	38.02075	0.0186577797471	3794378	70795
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	22.31336	0.0109497526035	5638192	61737
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	21.89	0.0107419969335	1842475	19792
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	6.27796	0.00308076114892	3562128	10974
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4.05515	0.00198996959225	4002833	7966
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.81417	0.0018717137161	3127383	5854
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	1.69237	0.000830491140328	2010119	1669
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.27367	0.000625025366289	2484432	1553
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0.44081	0.000216318111234	2574132	557
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.22175	0.00010881984874	2612847	284
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	37.13605	0.0182236370506	5296179	96516
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	22.31336	0.0109497526035	3724611	40784
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	21.89	0.0107419969335	1842475	19792
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	6.27796	0.00308076114892	3257880	10037
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.81417	0.0018717137161	3752948	7024
